Kod_uzemi,Nazev_uzemi,Smesneho_odpadu (t),Pocet_obyvatel,Prumer (t/1os),Kraj
4101,Aš,6275.974606,16.978,369.65,Karlovarský kraj
2101,Benešov,18958.255519,60.662,312.52,Středočeský kraj
2102,Beroun,19175.159245,65.149,294.33,Středočeský kraj
4201,Bílina,6410.58583,19.581,327.39,Ústecký kraj
8101,Bílovec,5059.200019,25.384,199.31,Moravskoslezský kraj
6201,Blansko,12056.759658,56.233,214.41,Jihomoravský kraj
3101,Blatná,3156.153805,13.392,235.67,Jihočeský kraj
3201,Blovice,2544.640673,12.099,210.32,Plzeňský kraj
8102,Bohumín,8138.890008,33.307,244.36,Moravskoslezský kraj
6202,Boskovice,11601.217485,51.517,225.19,Jihomoravský kraj
2103,Brandýs nad Labem-Stará Boleslav,30078.755967,112.364,267.69,Středočeský kraj
6204,Břeclav,14828.337536,58.396,253.93,Jihomoravský kraj
6203,Brno,103696.925848,378.244,274.15,Jihomoravský kraj
5201,Broumov,3565.056232,15.64,227.94,Královéhradecký kraj
8103,Bruntál,8856.0848,35.804,247.35,Moravskoslezský kraj
6205,Bučovice,4272.408328,16.068,265.90,Jihomoravský kraj
6101,Bystřice nad Pernštejnem,4868.808,19.515,249.49,Kraj Vysočina
7201,Bystřice pod Hostýnem,3585.38071,15.077,237.80,Zlínský kraj
2104,Čáslav,8530.29559,25.607,333.12,Středočeský kraj
2105,Černošice,42386.759192,148.313,285.79,Středočeský kraj
5101,Česká Lípa,22083.359437,76.114,290.14,Liberecký kraj
5301,Česká Třebová,6597.288355,17.759,371.49,Pardubický kraj
3102,České Budějovice,40703.452155,161.607,251.87,Jihočeský kraj
2106,Český Brod,5888.565263,19.411,303.36,Středočeský kraj
3103,Český Krumlov,12058.39938,40.8,295.55,Jihočeský kraj
8104,Český Těšín,5843.017881,24.993,233.79,Moravskoslezský kraj
4102,Cheb,12861.795126,48.255,266.54,Karlovarský kraj
4203,Chomutov,21708.985608,79.516,273.01,Ústecký kraj
6104,Chotěboř,4644.4646,21.606,214.96,Kraj Vysočina
5304,Chrudim,28102.952312,82.85,339.20,Pardubický kraj
3104,Dačice,4967.088324,18.55,267.77,Jihočeský kraj
4202,Děčín,20331.832203,75.497,269.31,Ústecký kraj
2107,Dobříš,5812.426285,22.952,253.24,Středočeský kraj
5202,Dobruška,7152.58449,19.977,358.04,Královéhradecký kraj
3202,Domažlice,9465.041732,39.711,238.35,Plzeňský kraj
5203,Dvůr Králové nad Labem,6877.389444,26.718,257.41,Královéhradecký kraj
8105,Frenštát pod Radhoštěm,4182.733482,19.341,216.26,Moravskoslezský kraj
8106,Frýdek-Místek,26282.159188,111.345,236.04,Moravskoslezský kraj
5102,Frýdlant,8534.629403,24.363,350.31,Liberecký kraj
8107,Frýdlant nad Ostravicí,7199.994445,24.811,290.19,Moravskoslezský kraj
8108,Havířov,19596.53267,85.456,229.32,Moravskoslezský kraj
